ROUTEID,R2,MODEL,MAE,RMSE,Weight
59_11,0.3869135892720338,LR,-182.7177730148684,-254.27823054073872,0.0022742739847889
59_10,0.3690722487507415,LR,-176.82545006741955,-285.4836198942667,0.002269558834855
66_11,0.5099847542743351,LR,-488.53235880533856,-708.8586629231771,0.0022475548018301
63_30,0.275416650716614,LR,-445.3792114257813,-636.1993204752604,0.0022239790521605
114_6,0.5387282954752907,RFR,-310.5248734759044,-494.5012405968214,0.0021799709861107
15B_64,0.7129077828957929,RFR,-363.8252852170147,-505.2252524351106,0.0021595386697304
114_5,0.596289129332116,RFR,-299.31479875461656,-435.7331918425536,0.0021186740369699
53_21,0.3726925342965844,LR,-224.58190457078865,-347.28692454894684,0.002062092237763
84_30,0.5693973695865525,RFR,-434.3805998257536,-643.4311075654524,0.0020338013381595
7A_88,0.5826658212298687,LR,-313.4273344848655,-423.3220128540528,0.0020133690217792
69_44,0.4452224146283768,RFR,-392.8345268279632,-621.2368997191537,0.001992936705399
33_70,0.518822625205173,RFR,-524.6887016559668,-758.4665297659891,0.0019772195389526
84_27,0.4826807920836902,RFR,-490.7716334404504,-745.9504770529078,0.0019567872225723
26_29,0.514441305282152,RFR,-335.6060477440513,-536.0427490868215,0.0019552155059277
33_44,0.4339212033608434,RFR,-810.1551904540221,-1128.4264428459007,0.0019426417727706
69_43,0.3245756757675509,LR,-387.75682576497394,-599.9371744791666,0.0019159225898118
26_28,0.5055488745945506,RFR,-318.38473303015377,-438.5851466589176,0.0019033488566547
7_71,0.5152440478952841,LR,-336.06888675540114,-460.389214873747,0.0018106175746211
83A_23,0.5039722979126077,RFR,-453.2361144585839,-644.4414881125484,0.0017917569748855
111_7,0.4495617737149395,LR,-304.1509281515086,-471.2474866658043,0.0017791832417284
151_16,0.5510326610252101,RFR,-259.27628560675794,-371.53943188260206,0.001746177192191
83A_17,0.5481974445721393,RFR,-460.734659648751,-646.6751763246222,0.0017320317423893
83_19,0.3026524957821563,KNNR,-371.903742092384,-529.0224922389225,0.0016723065098931
